"id","taxon","rl_cat","lon","lat","northern_limit","poleward_shift","poleward"
"160ed9c95567652353035c17f6739b39","Saponaria ocymoides","2",13.1325875,52.4629645,51.925000001128,0.537964498872,TRUE
"486c969c90a048bd0671f402330427a3","Muscari neglectum","3",10.005228,53.8079527,53.775,0.0329527000000027,TRUE
"e8bfcb072e465c6dce25648eb486fd86","Scabiosa ochroleuca","3",11.3299741,53.6550638,52.57500000113,1.08006379887,TRUE
"3159cf6ba92e524d62f69e02aead4eb3","Typha minima","0",11.3259486,50.9595599,48.375,2.5845599,TRUE
"4aef6e65fc2177c89a77793e9dcd40f5","Lathyrus heterophyllus","3",9.9372000504696,52.316763648388,51.6250000011265,0.691763647261496,TRUE
"b2e4316ea3f815ba39576dc89289e25b","Helleborus niger","3",7.4656255,53.4741228,50.925,2.54912280000001,TRUE
"bf49295911e35df1fbd45397ad1b4892","Saxifraga rosacea","3",10.0438645,53.6298782,51.875,1.7548782,TRUE
"c72fa6934fc5ade2b092f9815d912147","Typha minima","0",11.0372744,51.432168,48.375,3.057168,TRUE
"812286c0eea88d80b30ac0771f2ed281","Lathyrus heterophyllus","3",13.299960988185,52.609480915612,51.6250000011265,0.984480914485495,TRUE
"23813a0604f84e117a6c37ac642a2cb3","Helianthemum apenninum","3",14.5384067,52.3662089,51.525,0.841208899999998,TRUE
"42d9bfa41458dfcf6ff575a77394c7d9","Saponaria ocymoides","2",10.483647,52.2786598,51.925000001128,0.353659798872002,TRUE
"8ea0c426b015bfa6a2322cb53ddd800b","Melittis melissophyllum","3",12.4064003,51.3279799,51.2750000011255,0.0529798988745043,TRUE
"982e4ce226ddac968869c17b09e3bb21","Saponaria ocymoides","2",13.4578857,52.1714791,51.925000001128,0.246479098872001,TRUE
"8e52c526f6a964e50d1f74cf5557f675","Saponaria ocymoides","2",10.5117354,52.3230213,51.925000001128,0.398021298872003,TRUE
"181e72dfce04ad21347362e7006a6236","Dianthus gratianopolitanus","3",14.4868109,52.1388225,51.875,0.263822500000003,TRUE
"509113d49769f8b7cc6553beab9b9591","Crepis conyzifolia","3",9.3910811102164,51.250625546248,47.825,3.425625546248,TRUE
"abdfab8627978cb1fd7d4687386c894a","Typha minima","0",7.0650156830592,50.981230477336,48.375,2.606230477336,TRUE
"d835f3ad0b1b363cdc6ddcd966878494","Helleborus niger","3",10.7416352,54.0331591,50.925,3.1081591,TRUE
"fd03067842db83577b60366bf7e24f58","Verbascum phoeniceum","2",10.131161250092,54.292848773546,53.225,1.067848773546,TRUE
"2777026ed9ecf0196c552e3e9fd4e4c0","Helleborus niger","3",6.9248105826221,50.960541730217,50.925,0.0355417302170054,TRUE
"b3239522b2724b027169326ee4d5beb5","Saponaria ocymoides","2",14.532951,52.3667126,51.925000001128,0.441712598872002,TRUE
"d8c03182cbe6cac8196b7b6f94079dfc","Eryngium planum","1",10.0595467,54.2383483,53.625,0.613348299999998,TRUE
"bb7f46d3a6edea4826e5ebcaaefb31db","Typha minima","0",11.423323299722,49.291904999722,48.375,0.916904999722,TRUE
"7d3f8f61fa6cc7effebab69cb9779d08","Eryngium planum","1",10.7414011,54.0331173,53.625,0.408117300000001,TRUE
"3fbe37a2ea6a9d50cf6a209391c9850d","Muscari neglectum","3",10.7414852,54.0331242,53.775,0.258124200000005,TRUE
"b849313544856a46e10822957aaf5dcf","Saxifraga rosacea","3",8.8304237,53.063216,51.875,1.188216,TRUE
"1da8a18a8c91c8d0d7e3745064e96aae","Melittis melissophyllum","3",6.6455467,51.4451119,51.2750000011255,0.170111898874502,TRUE
"8ee5ba697224e496e4a56e32669274ab","Buxus sempervirens","3",9.9928680476559,54.682727888586,54.375,0.307727888586001,TRUE
"8d022ae739aa41eca3362ff1c0f3ed82","Calamagrostis stricta","3",9.9928876531355,54.682717363206,54.675,0.00771736320600525,TRUE
"3876b91b8c80c49485199018c8a925b9","Calendula arvensis","1",12.265128336776,51.360315770504,50.025,1.335315770504,TRUE
"e8db63139c03a103a99eba66276e23dd","Bunium bulbocastanum","3",13.6629142,53.1845908,52.775,0.409590800000004,TRUE
"06ee7bbc1b8ce5ed893be550f33dcb2c","Helleborus niger","3",12.5508291,52.4024433,50.925,1.4774433,TRUE
"c578c3976daac17afb5f15ccc03eb2dd","Calendula arvensis","1",13.307884749285,52.413385053962,50.025,2.388385053962,TRUE
"64c890e34a2be7a23ff77850fdde3da5","Saponaria ocymoides","2",10.564444444444,52.274722222222,51.925000001128,0.349722221094005,TRUE
"c5f74ea25be64e5b83f3fd8ecd8a309d","Saxifraga rosacea","3",10.1272482,53.790274,51.875,1.915274,TRUE
"b4ee89fff1ac51916ad232f3c8128445","Lilium bulbiferum","3",10.0684933,54.3534651,53.8250000011782,0.528465098821798,TRUE
"85a53660e5af3f834f465ed801afcfeb","Legousia speculum-veneris","2",14.4871202,52.1390019,51.9750000018173,0.164001898182697,TRUE
"4ea264f21e5dfc4b89f828a9a8962a55","Hippocrepis emerus","3",12.571181,51.8370273,50.025,1.8120273,TRUE
"f301c5bed707f296a84eb11a8f332912","Pinus cembra","3",11.5523018,50.9022259,49.2750000011149,1.6272258988851,TRUE
"85935bf73ef94f3a396f0eaafa524bf3","Rosa gallica","3",13.474935292857,53.868017172113,53.6750000011388,0.193017170974201,TRUE
"4768d9b59099014c8ba03936fccd79ed","Saponaria ocymoides","2",10.489929703203,52.15992964097,51.925000001128,0.234929639842001,TRUE
"fdd7760bae1c167f8775d270d862778a","Typha minima","0",9.3440148,48.7251702,48.375,0.350170200000001,TRUE
"4a7abfcae0f0e88bb58653b0f0953300","Primula auricula","3",10.3557416,53.8160131,48.9750000011131,4.8410130988869,TRUE
"39b2dc3c1b5f2c788c4c5fc4f3de6c71","Helleborus niger","3",13.436034682268,54.102418267946,50.925,3.177418267946,TRUE
"43ae730711872523c17003a4be9d5e0c","Eryngium planum","1",13.436067698097,54.102298082987,53.625,0.477298082986998,TRUE
